time_s,temperature_K,density_kg_per_m3,Y_WOOD,Y_CHAR,Y_TAR,Y_O2,Y_N2,Y_H2O,Y_H2O_L,Y_CO,Y_CO2,Y_H2,Y_CH4
5,797.62362,0.471117195,0.158994412,3.23795698e-06,0,0.189363958,0.633957597,0.017671442,-1.18421545e-41,4.47466464e-06,3.07587998e-06,2.01287505e-07,1.60181314e-06
10,797.702695,0.471058143,0.158978199,6.48066644e-06,0,0.189363957,0.633957597,0.0176750447,-6.88616806e-51,8.9558844e-06,6.15629433e-06,4.02869224e-07,3.20596714e-06
15,797.781881,0.47099902,0.158961962,9.72813751e-06,0,0.189363957,0.633957597,0.0176786527,2.37778598e-60,1.34436709e-05,9.24125322e-06,6.04745579e-07,4.81246537e-06
20,797.861178,0.470939826,0.158945702,1.29803828e-05,0,0.189363957,0.633957597,0.0176822661,4.75830494e-67,1.793804e-05,1.23307711e-05,8.06917112e-07,6.42131227e-06
25,797.940587,0.47088056,0.158929417,1.62374149e-05,0,0.189363957,0.633957597,0.0176858848,5.62692911e-72,2.24390069e-05,1.54248637e-05,1.00938426e-06,8.0325115e-06
30,798.020107,0.470821223,0.158913109,1.94992466e-05,0,0.189363956,0.633957597,0.0176895089,6.00299025e-78,2.69465858e-05,1.85235483e-05,1.21214731e-06,9.64606559e-06
35,798.099739,0.470761814,0.158896777,2.27658905e-05,0,0.189363956,0.633957597,0.0176931383,4.44462656e-77,3.14607896e-05,2.16268443e-05,1.41520633e-06,1.12619756e-05
40,798.179484,0.470702332,0.15888042,2.60373596e-05,0,0.189363955,0.633957597,0.0176967732,1.03470054e-82,3.59816298e-05,2.4734774e-05,1.61856113e-06,1.28802406e-05
45,798.259343,0.470642777,0.158864039,2.93136668e-05,0,0.189363954,0.633957597,0.0177004136,7.11440494e-85,4.05091157e-05,2.78473632e-05,1.82221113e-06,1.45008568e-05
50,798.339316,0.47058315,0.158847634,3.2594825e-05,0,0.189363953,0.633957597,0.0177040594,-1.31029369e-87,4.50432535e-05,3.09646428e-05,2.02615526e-06,1.61238169e-05
55,798.419404,0.470523448,0.158831205,3.58808474e-05,0,0.189363952,0.633957597,0.0177077108,-2.39846906e-91,4.95840456e-05,3.40866499e-05,2.23039175e-06,1.77491086e-05
60,798.49961,0.470463672,0.158814751,3.9171747e-05,0,0.18936395,0.633957597,0.0177113678,3.22377598e-92,5.41314892e-05,3.72134308e-05,2.43491793e-06,1.93767127e-05
65,798.579933,0.47040382,0.158798273,4.24675374e-05,0,0.189363947,0.633957597,0.0177150305,3.24757953e-96,5.86855743e-05,4.03450433e-05,2.63972984e-06,2.10066007e-05
70,798.660378,0.470343891,0.15878177,4.57682318e-05,0,0.189363944,0.633957597,0.0177186991,1.57973526e-99,6.32462807e-05,4.34815618e-05,2.84482175e-06,2.26387314e-05
75,798.740946,0.470283884,0.158765243,4.90738441e-05,0,0.18936394,0.633957597,0.0177223736,-2.0244257e-101,6.78135751e-05,4.66230836e-05,3.05018548e-06,2.42730453e-05
80,798.821643,0.470223795,0.158748691,5.23843881e-05,0,0.189363934,0.633957597,0.0177260544,-7.10535826e-102,7.23874046e-05,4.97697377e-05,3.25580936e-06,2.59094575e-05
85,798.902473,0.470163623,0.158732114,5.56998782e-05,0,0.189363927,0.633957597,0.0177297416,-2.49248644e-107,7.69676901e-05,5.29216982e-05,3.46167682e-06,2.75478474e-05
90,798.983445,0.470103361,0.158715513,5.90203291e-05,0,0.189363917,0.633957597,0.0177334358,2.01981644e-112,8.15543144e-05,5.60792032e-05,3.6677642e-06,2.91880423e-05
95,799.064569,0.470043005,0.158698886,6.23457563e-05,0,0.189363904,0.633957597,0.0177371374,8.43045857e-116,8.61471076e-05,5.92425821e-05,3.8740378e-06,3.08297964e-05
100,799.14586,0.469982545,0.158682235,6.56761761e-05,0,0.189363885,0.633957597,0.0177408474,1.97679271e-118,9.07458258e-05,6.24122949e-05,4.0804494e-06,3.24727576e-05
105,799.227342,0.469921968,0.158665559,6.90116061e-05,0,0.18936386,0.633957597,0.0177445668,3.94265806e-121,9.53501217e-05,6.55889886e-05,4.28693006e-06,3.41164226e-05
110,799.309045,0.469861258,0.158648857,7.23520657e-05,0,0.189363826,0.633957597,0.0177482974,4.55476186e-121,9.99595072e-05,6.87735757e-05,4.49338121e-06,3.57600721e-05
115,799.391013,0.469800388,0.15863213,7.56975767e-05,0,0.189363778,0.633957597,0.0177520414,-2.61449091e-121,0.000104573306,7.19673424e-05,4.69966269e-06,3.74026835e-05
120,799.47331,0.469739323,0.158615378,7.90481647e-05,0,0.189363711,0.633957597,0.0177558022,-6.01983538e-126,0.000109190606,7.51720914e-05,4.90557683e-06,3.9042816e-05
125,799.556024,0.469678013,0.1585986,8.24038603e-05,0,0.189363618,0.633957597,0.0177595847,-8.47890243e-131,0.000113810217,7.83903196e-05,5.11084898e-06,4.06784694e-05
