time_s,temperature_K,density_kg_per_m3,Y_WOOD,Y_CHAR,Y_TAR,Y_O2,Y_N2,Y_H2O,Y_H2O_L,Y_CO,Y_CO2,Y_H2,Y_CH4
5,813.307155,0.452264507,0.158988641,4.39213843e-06,0,0.0411660777,0.782155477,0.0176727243,6.89697394e-32,6.06968135e-06,4.17227849e-06,2.73037833e-07,2.17279113e-06
10,813.412371,0.452190259,0.15896664,8.79249103e-06,0,0.0411660777,0.782155477,0.0176776132,-2.79971137e-39,1.21507074e-05,8.35237075e-06,5.46585547e-07,4.34964042e-06
15,813.517772,0.452115897,0.158944598,1.32010806e-05,0,0.0411660776,0.782155477,0.0176825112,5.12660408e-45,1.82431087e-05,1.25402998e-05,8.20644412e-07,6.53055823e-06
20,813.623361,0.452041422,0.158922515,1.76179348e-05,0,0.0411660774,0.782155477,0.0176874185,-2.6692626e-53,2.43469222e-05,1.67360942e-05,1.09521594e-06,8.71555692e-06
25,813.729138,0.451966834,0.15890039,2.20430813e-05,0,0.0411660772,0.782155477,0.0176923349,1.61545832e-55,3.04621841e-05,2.09397832e-05,1.37030153e-06,1.09046483e-05
30,813.835104,0.451892131,0.158878224,2.64765481e-05,0,0.041166077,0.782155477,0.0176972607,2.55190544e-56,3.65889303e-05,2.51513977e-05,1.6459025e-06,1.30978436e-05
35,813.941259,0.451817315,0.158856016,3.09183633e-05,0,0.0411660766,0.782155477,0.0177021957,-2.40824373e-58,4.27271957e-05,2.93709705e-05,1.92201998e-06,1.52951529e-05
40,814.047604,0.451742383,0.158833766,3.53685549e-05,0,0.0411660762,0.782155477,0.0177071401,-1.00497133e-61,4.88770139e-05,3.3598537e-05,2.19865487e-06,1.74965849e-05
45,814.154141,0.451667336,0.158811474,3.98271515e-05,0,0.0411660756,0.782155477,0.0177120939,2.05278671e-63,5.50384164e-05,3.78341362e-05,2.47580766e-06,1.97021462e-05
50,814.260869,0.451592173,0.15878914,4.42941815e-05,0,0.0411660747,0.782155477,0.0177170571,-2.13529887e-67,6.12114316e-05,4.20778125e-05,2.75347832e-06,2.19118399e-05
55,814.367792,0.451516893,0.158766764,4.87696736e-05,0,0.0411660737,0.782155477,0.0177220299,2.16905811e-70,6.73960833e-05,4.63296184e-05,3.03166594e-06,2.4125664e-05
60,814.474909,0.451441496,0.158744345,5.32536569e-05,0,0.0411660722,0.782155477,0.0177270122,2.29530063e-73,7.35923879e-05,5.05896186e-05,3.31036829e-06,2.63436084e-05
65,814.582224,0.45136598,0.158721883,5.77461605e-05,0,0.0411660701,0.782155477,0.0177320043,5.48834623e-73,7.98003503e-05,5.48578968e-05,3.58958097e-06,2.85656504e-05
70,814.68974,0.451290343,0.158699379,6.22472139e-05,0,0.0411660673,0.782155477,0.0177370063,1.05202673e-74,8.60199563e-05,5.91345683e-05,3.869296e-06,3.07917456e-05
75,814.797462,0.451214583,0.158676832,6.67568471e-05,0,0.0411660631,0.782155477,0.0177420185,4.94758693e-80,9.22511598e-05,6.34198002e-05,4.14949935e-06,3.30218135e-05
80,814.905397,0.451138696,0.158654242,7.12750905e-05,0,0.0411660571,0.782155477,0.0177470412,-1.43290268e-82,9.84938591e-05,6.77138507e-05,4.43016625e-06,3.52557092e-05
85,815.013558,0.451062675,0.158631608,7.58019759e-05,0,0.0411660478,0.782155477,0.0177520751,-2.44799088e-82,0.000104747852,7.20171418e-05,4.71125234e-06,3.74931711e-05
90,815.121969,0.450986507,0.158608932,8.03375362e-05,0,0.0411660333,0.782155477,0.0177571215,7.95705561e-86,0.000111012751,7.63304023e-05,4.99267619e-06,3.97337154e-05
95,815.230672,0.45091017,0.158586211,8.48818074e-05,0,0.0411660095,0.782155477,0.0177621827,4.62660708e-93,0.000117287809,8.06549583e-05,5.27428337e-06,4.19764223e-05
100,815.339751,0.450833619,0.158563447,8.9434831e-05,0,0.0411659688,0.782155477,0.0177672631,6.0691378e-95,0.000123571578,8.49933289e-05,5.55577259e-06,4.42194927e-05
105,815.44937,0.450756767,0.158540639,9.39966586e-05,0,0.0411658964,0.782155477,0.0177723717,1.93836789e-104,0.000129861246,8.93504414e-05,5.83654447e-06,4.64593402e-05
110,815.559861,0.450679436,0.158517787,9.85673632e-05,0,0.0411657631,0.782155477,0.0177775262,6.98912823e-110,0.00013615152,9.3735951e-05,6.11541351e-06,4.8688851e-05
115,815.671858,0.450601287,0.158494889,0.000103147058,0,0.0411655145,0.782155477,0.0177827614,-1.03584268e-119,0.000142433391,9.8167972e-05,6.39015198e-06,5.08945974e-05
120,815.786458,0.450521733,0.158471946,0.000107735933,0,0.0411650587,0.782155477,0.0177881376,-1.40848221e-128,0.000148694798,0.000102677004,6.65703977e-06,5.30539965e-05
125,815.90526,0.450439913,0.158448955,0.000112334294,0,0.0411642661,0.782155477,0.0177937449,-3.28963783e-140,0.000154927306,0.000107305867,6.9109788e-06,5.51357628e-05
130,816.030137,0.450354811,0.158425915,0.000116942607,0,0.0411629907,0.782155477,0.0177996916,4.18983656e-142,0.000161139415,0.000112101823,7.14664126e-06,5.71066382e-05
135,816.162831,0.450265473,0.158402821,0.000121561496,0,0.0411611038,0.782155477,0.0178060821,7.46233474e-151,0.000167365921,0.000117105156,7.36000439e-06,5.89407107e-05
140,816.304672,0.450171162,0.158379671,0.00012619173,0,0.0411585132,0.782155477,0.0178129999,-3.32194531e-159,0.00017366158,0.000122343514,7.54901145e-06,6.06236419e-05
145,816.456528,0.450071387,0.15835646,0.000130834174,0,0.0411551645,0.782155477,0.0178205018,-1.06594624e-159,0.0001800835,0.000127833726,7.71320325e-06,6.21506374e-05
150,816.618847,0.449965891,0.158333183,0.000135489761,0,0.0411510348,0.782155477,0.0178286182,3.04221723e-162,0.000186675406,0.000133585666,7.85310374e-06,6.35228511e-05
155,816.7917,0.449854628,0.158309836,0.00014015945,0,0.0411461282,0.782155477,0.0178373546,-7.69950048e-169,0.000193460226,0.000139604477,7.96984986e-06,6.47452567e-05
